"","normal_1","normal_2","normal_3","normal_4","normal_5","normal_6","HD_1","HD_2","HD_3","HD_4","HD_5","HD_6","HD_7","HD_8"
"AHSP",150.344985528571,188.744812814286,919.321813978571,163.615258492857,155.444456785714,778.504799992857,325.471805257143,2056.11882492857,412.7541619,715.226581471429,179.496429385714,181.296639257143,193.380465864286,201.771222714286
"UXS1",177.432676685714,218.687473814286,74.5791411078571,152.219151585714,142.972566578571,137.605839978571,79.0456735821429,23.2766185464286,37.8398648057143,51.353135325,113.334871247857,148.36374655,155.259289985714,153.651816742857
"ZSCAN16",45.5185143185714,48.6931216371429,27.2481497957143,24.3868824142857,29.3361009114286,37.0003390471429,32.7916337657143,40.8472128878571,8.53811822064286,27.6059053821429,32.7561311314286,40.1291426371429,50.6101877357143,74.6644907671429
"SPSB1",31.0841917778571,24.5895572157143,85.4599924042857,52.0210938871429,10.1021381601429,39.5040892014286,61.972881355,53.8366896514286,14.33799362,161.515695914286,26.0206014464286,45.5404616728571,28.2136867171429,33.0193040478571
"DCLRE1C",130.486059435714,82.2280468507143,188.1623122,126.634923771429,87.4382209371429,72.59335524,201.636177685714,161.452540157143,152.33099845,149.068905971429,92.8344765942857,112.932273617143,137.964180892857,145.105177142857
"NLRX1",176.1501509,233.111388107143,138.261388714286,218.368802757143,280.203585221429,270.445443521429,181.481375228571,32.8954126771429,62.9756579478571,40.0993752728571,281.956281092857,244.27617455,201.26551535,129.468209621429
"RAB11FIP1",251.577881535714,361.274071314286,154.442012407143,368.924587914286,657.023651314286,380.384501357143,446.96270415,329.866622921429,193.849713228571,244.3670059,436.329382114286,364.976032235714,400.987894292857,309.152671335714
"TBX3",8.50662197142857,20.1897931257143,5.0039146275,2.19436712292857,2.79673292964286,3.785080725,5.2882814575,5.07515220542857,6.88633635135714,4.80903329071429,2.68085669564286,4.91562654514286,3.32577714828571,4.47585895907143
"FZD3",29.3128593692857,19.6771732092857,17.7452376,41.5137369542857,42.2455500657143,31.7546973042857,1.76647301842857,41.7834329771429,3.45419817207143,54.5429568992857,29.3688843428571,43.3344179192857,22.1085042714286,44.0389714485714
"RTP4",40.9898891685714,28.1462494907143,31.0196513164286,89.7793588571429,39.521439905,113.167407492143,78.9395513907143,19.8728576042857,22.634739695,40.4724560357143,75.6784643935714,58.5670570778571,41.4638304135714,65.918602895
"TMEM35A",66.8380924528571,91.26888439,52.7490517957143,74.3364441992857,66.9160376807143,96.3426344964286,60.2154162328571,71.0762779378571,9.96212266185714,79.2460293721429,86.91779664,54.9244686292857,59.5781967507143,46.6983051678571
"STK32B",7.31176758028571,13.8082777524286,9.97670189642857,11.4484587145,14.2968220335714,13.8566504072857,9.00838820871429,13.8815687330714,7.34356474671429,8.5904637245,14.4814311492857,11.2351533292857,10.1586126462857,13.0704460775714
"HHAT",24.6667976992857,39.5673853307143,40.2433086842857,36.7772904985714,23.46132643,44.3637120821429,3.91262308307143,2.17474117457143,55.88581215,39.5040892014286,4.49029290035714,29.1224057021429,5.74401190592857,4.35915266292857
"BBS7",25.955505685,32.0500361107143,19.5644733778571,4.53355367621429,4.35371382135714,1.82838416792857,2.4463372885,24.6227910064286,3.64215257507143,54.7379085178571,31.2676573671429,24.0700169314286,55.6311074307143,23.8925503964286
"SEMA3G",44.4260131785714,52.8575673571429,52.7779236028571,41.9013408914286,62.630312365,56.1989357828571,43.8441053271429,21.1218068978571,24.2799600235714,115.638370614286,64.343417715,45.9370805328571,47.9791043285714,42.3587119257143
"IGFLR1",252.200710664286,391.173878971429,679.90835105,271.411681721429,321.698800071429,388.719113464286,363.641795764286,300.306224135714,344.354194664286,397.435831292857,203.48805685,336.46245855,188.999998478571,314.837650085714
"SAMD9",41.167411545,71.1141871321429,5.10646147292857,66.05523415,67.0172939892857,60.3959719907143,34.4471903342857,34.2349784035714,39.6372978907143,1.42134541685714,47.7895566128571,39.521439905,52.07797563,69.9857957842857
