,normal_1,normal_2,normal_3,normal_4,normal_5,normal_6,normal_7,normal_8,normal_9,normal_10,normal_11,normal_12,normal_13,normal_14,symptomatic_1,symptomatic_2,symptomatic_3,symptomatic_4,symptomatic_5,symptomatic_6,symptomatic_7,symptomatic_8,symptomatic_9,symptomatic_10,symptomatic_11,symptomatic_12
LUZP1,118.2794355,56.60725806,91.74946237,125.9548387,214.9666667,147.8252688,85.32370968,110.9178763,160.248172,101.6920968,54.68521505,52.03919355,72.6391321,137.133871,67.97419355,118.5433871,41.59849462,88.45241935,58.30236559,73.06706989,56.59408602,77.37430108,117.9247312,87.08091398,102.5420161,122.994086
LOC100507577,97.90833333,13.8061828,118.6849462,13.82983871,117.9153226,82.32177419,102.558172,126.5977419,90.90299731,93.41505376,110.2524194,98.44865591,124.6316398,139.9516129,193.7001344,120.7852688,152.5478495,117.9341398,116.433871,128.8760753,114.638172,120.4875269,125.9548387,137.0959677,95.16889785,141.18
DTX3,59.09354839,80.28360215,44.64139785,71.0994086,88.13091398,32.2047619,33.20510753,47.82054532,23.83252688,57.40655914,32.48892473,25.18629032,61.74803763,36.67284946,18.7047043,34.35725806,48.13181004,34.93946237,34.57123656,49.67379032,22.2577957,61.64944892,23.25672043,36.45561828,42.35887097,37.90016129
KLHL22,49.23610215,32.68731183,44.90521505,36.52986175,45.91341014,39.38623656,47.7719086,37.99819892,49.64185484,45.76849462,56.78099462,59.0227957,48.86317204,73.26,38.96419355,49.96327957,50.77580645,40.05394917,41.14204301,43.21473118,44.09231183,48.04580645,36.56258065,29.27473118,41.96361559,40.32306452
PTPRE,459.9575269,442.4989247,677.5610215,334.4638441,467.0497312,459.0862903,582.008172,552.4104839,478.1647849,383.0591667,472.6284946,436.183871,464.7639785,570.0158602,640.5122923,707.4271505,652.9293011,570.0158602,668.7164516,774.241129,914.3526882,654.4884409,726.1204301,495.719086,733.6054839,598.5782258
TLDC1,9.428924731,8.080913978,13.6,28.75430108,7.408064516,12.40053763,11.67150538,16.11854839,20.28225806,6.909946237,33.9827957,17.64,12.95698925,7.787634409,18.14731183,14.94462366,14.18817204,7.020430108,12.04569892,7.802150538,9.953225806,9.579704301,15.75134409,5.479569892,9.994354839,15.29516129
CLPB,43.8372043,87.03239247,39.66255376,51.23182796,96.66263441,109.550914,145.8725806,81.03150538,106.4865591,63.5844086,116.9090964,71.9641129,105.4956989,106.8712366,18.6311828,19.09274194,23.5833871,96.51317204,29.25080645,71.67551075,74.7672043,33.11125192,35.23120968,29.78709677,33.36193548,67.446851
CASKIN2,22.01276882,28.3827957,16.40322581,28.92096774,15.72634409,11.40403226,11.61061828,14.45510753,13.64032258,32.10026882,9.953225806,21.19763441,19.47384409,29.0077957,11.62741935,13.11438172,12.41451613,11.43844086,15.14825269,9.489650538,11.99959677,8.188172043,12.57311828,9.406989247,14.55403226,17.6916129
SMIM10L1,42.95854839,14.60752688,73.53172043,23.70537634,13.34354839,61.59784946,89.86376344,104.7475,10.92956989,64.66564516,58.94024578,51.4938172,74.50666667,54.62258065,76.33763441,56.6183871,76.80607527,127.4373656,103.608871,86.14954301,104.6419355,79.64673284,85.30494624,108.5051075,50.61169355,82.83989247
ZGPAT,71.99973118,41.31374424,49.22158602,49.26451613,41.05960573,50.72043011,48.34819892,48.97301075,59.39890169,47.33268817,73.05913979,53.79408602,39.62513441,54.55295699,37.2266129,38.07392473,42.00311828,41.80731183,50.40349462,46.24301075,31.94516129,62.53682796,40.64456989,42.00913979,48.64215054,34.70666667
